zip,gas_additives,env_cont,pol_cont,rel_cont,med_income,med_value,avg_alc,avg_edu,avg_food,avg_homefood,avg_smoke,avg_care,avg_funeral,avg_cemet
70634,2421,689,660,5706,41170,128698,371.78,913.34,6336.31,3787.86,369.77,601.87,71.08,7.48
70748,635,195,159,1419,39960,106882,332.47,788.33,6391.55,3933.41,455.09,575.17,80.81,9.56
70810,2813,2009,1836,9173,75621,251817,724.06,1928.9,10620.17,6158.21,469.01,1053.9,92.18,7.93
70722,570,162,146,1248,42640,142790,381.53,921.61,7202.31,4418.29,502.7,651.43,91.62,10.41
71409,742,165,172,1615,46564,166827,378.72,914.63,6943.92,4220.91,455.21,638.93,83.2,9.6
71424,137,39,38,313,50128,126829,434.25,1080.56,7486,4475.72,433.91,714.15,82.33,9.3
71032,276,46,48,497,49444,116453,404.39,920.15,8737.56,5487.81,690.2,749.72,119.84,15.31
70712,533,165,173,1149,50646,25000,404.27,971.38,6458.81,3767.54,269.7,628.81,50.31,4.46
71355,383,58,60,627,40320,111547,303.78,690.55,6624.1,4166.34,523.64,566.04,90.94,11.72
71295,1591,288,304,2668,30371,90992,284.73,679.83,5511.86,3404.96,404.49,486.33,71.61,8.06
70812,1101,181,205,2169,35152,112741,301.81,737.42,4764.26,2830.98,267.25,457.44,55.71,4.77
71447,156,33,33,332,37198,82500,258.36,587.34,5485.18,3431.93,434.08,474.63,74.65,9.3
71006,1223,613,489,3328,67888,228483,542.72,1406.16,8495.86,5020.1,426.84,833.56,88.39,8.8
70836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70352,32,5,5,46,40751,84091,285.47,641.74,6340.52,3997.57,513.67,536.31,87.52,11.1
71404,85,17,18,178,42191,85870,323.01,732.08,6894.48,4323.19,546.09,594.55,94.75,11.96
71479,103,16,16,160,40960,74615,274.78,622.2,6031.2,3796.73,480.93,513.5,82.96,10.63
71422,190,28,31,346,35522,76149,256.75,588.69,5519.88,3465.32,427.61,475.44,75.45,9.85
70449,376,185,91,728,53780,175746,452.86,1088.36,7717.56,4623.94,439.86,737.81,82.93,9.67
71360,3236,1301,1263,8051,45146,158866,405.68,1023.33,6425.67,3810.02,343.53,618.35,68.95,6.19
70648,929,170,184,1736,42998,96689,359.58,860.73,6686.45,4080.05,453.8,607.92,82.01,9.22
71340,262,41,38,372,31890,69079,276.81,622.25,6147.95,3876.16,498.07,520.03,84.86,10.76
71008,91,14,16,171,38133,77308,278.14,637.03,5964.9,3742.91,463.6,514.29,81.56,10.58
70446,638,165,147,1507,48349,183264,377.75,919.18,6456.95,3822.12,357.92,622,66.03,7.31
71018,168,41,38,358,36265,64493,241.68,560.52,4975.39,3102.61,384.99,434,67.36,8.12
70125,1409,917,587,2891,38136,280220,453.97,1137.66,6915.58,4082.9,384.72,654.19,71.86,5.63
70065,3971,1898,1812,10470,56384,216725,540.1,1393.94,8049.77,4716.74,370.6,787.31,75.68,6.6
70754,1181,262,250,2505,54134,146700,441.91,1068.15,7720.97,4592.65,445.23,738.94,80.66,9.28
71342,1059,172,161,1564,35776,99965,271.15,609.71,5995.66,3777.45,485.81,508.22,82.73,10.45
70436,59,14,14,132,22523,72917,192.78,434.32,4132.74,2590.58,335.24,355.57,56.89,6.97
71064,533,96,93,929,36938,76369,260.26,588.8,5645.01,3546.06,451.93,483.26,77.55,9.77
70541,37,10,9,82,36839,127500,364.89,840.83,7553.99,4713.32,592.54,657.48,102.62,12.29
71241,1109,334,271,1926,38878,112153,356.96,845.29,6491.25,3968.18,434.83,591.42,79.2,8.91
70422,1420,317,309,2844,33668,143393,289.39,684.9,5479.46,3354.15,382.9,496.35,68.73,7.83
70043,1559,493,540,2978,41786,138997,375.08,933.18,5928.34,3510.35,318.81,557.18,57.78,4.63
70052,410,140,121,897,51321,155156,392.19,993.19,6840.4,4160.23,436.73,632.67,86.2,8.89
70053,1432,599,544,2685,35769,155521,365.52,915.32,5736.04,3419.82,323.34,536.58,61.41,4.9
70586,2363,446,436,3656,34619,97267,296.42,695.04,5810.8,3600.49,431.74,509.44,76.27,8.53
71469,344,60,58,588,38826,103388,318.78,732.64,6671.98,4155.07,507.12,581.77,87.78,11.03
70510,2570,614,586,4884,42621,117655,362.38,881.09,6502.25,3945.11,423.62,594.59,77.77,8.15
70535,1947,454,442,3524,36501,107970,307.42,740.13,5792.92,3570.02,411.36,516.94,75.69,8.32
70563,1667,667,624,4410,61767,159070,530.17,1344.18,8703.47,5195.37,489.84,831.07,98.26,9.52
71354,226,34,36,382,36519,107679,271.17,618.06,5888.21,3701.46,462.61,504.34,80.73,10.44
70739,1118,550,531,3277,62676,217853,555.55,1462.55,8416.31,4934.41,397.46,832.06,82.38,7.92
70554,573,111,112,1068,25727,78827,224.11,516.7,4563.9,2843.41,353.21,396.78,61.29,7.18
70546,1851,358,362,3165,40034,111655,332.64,787.22,6375.36,3939.77,461.08,565.26,84.37,9.33
71115,1232,633,618,3169,52930,203368,582.37,1454.31,8742.97,5125.33,438.64,848.67,83.5,6.9
71441,97,15,14,138,37426,88235,280.27,630.04,6224.91,3924.68,504.3,526.54,85.92,10.9
71031,149,23,22,212,34498,92021,247.79,557.03,5503.54,3469.88,445.86,465.52,75.96,9.64
70657,489,106,103,1044,47010,114493,384.13,932.49,6782.41,4040.33,397.21,647.82,71.9,8.49
71326,101,25,23,223,27679,70149,270.54,609.34,5799.4,3635.53,470.25,498.92,79.85,9.79
71343,914,155,147,1362,36270,88801,274.16,629.38,5727.92,3583.26,449.79,493.47,78.44,9.33
70764,1702,377,395,3838,44490,119411,383.59,916.09,7007.4,4257.91,462.69,643.61,85.02,9.4
71227,402,101,97,893,39536,120072,375.25,922.38,6487.65,3857.15,370.47,623.13,68.53,7.86
70515,527,84,79,772,34214,79019,262.8,596.25,5697.72,3573.54,449.48,487.84,76.92,9.71
70542,487,76,71,692,39162,103234,290.58,653.21,6453.84,4069.02,522.85,545.9,89.08,11.3
70435,1740,867,608,4322,60720,261242,545.25,1379.99,8607.51,5092.78,437.71,841.61,91.26,8.91
70550,24,4,3,33,26234,78409,188.91,424.65,4195.64,2645.27,339.91,354.89,57.91,7.35
70559,419,65,61,595,39105,91277,279.18,627.57,6200.58,3909.35,502.33,524.48,85.59,10.85
70773,18,3,3,37,50000,164286,380.9,904.92,7310.11,4461.39,489.31,667.66,87.81,10.98
70775,897,329,310,2376,56953,207425,451.57,1131.67,7825.21,4704.8,470.02,738.55,88,10.1
70780,115,25,24,247,53247,112019,459.93,1116.47,8120.63,4837.51,475.58,775.63,86.09,10.16
70032,368,117,124,680,35986,140641,329.79,824.62,5265.41,3121.41,288.32,494.33,53.24,4.25
71435,513,93,87,845,37346,77426,298.51,671.45,6566.28,4133.48,532.14,557.98,90.57,11.38
70444,1049,222,219,2055,36775,132409,306.02,722.75,5662.47,3442.07,377.69,520.1,67.69,7.66
70431,585,239,187,1361,60303,248179,524.42,1320.82,8597.62,5101.56,462.42,835.21,91.23,9.74
71463,1135,274,284,2337,33386,86550,271.17,637.94,5267.43,3266.61,393.34,463.47,70.83,7.92
70570,3730,834,851,7050,29010,111725,283.07,694.42,4979.64,3018.22,327.94,457.38,60.8,6.13
70578,1766,394,378,3384,42788,123330,341.24,806.95,6379.78,3891.96,430.5,581.06,77.25,8.75
70580,26,4,4,36,37149,98750,267.63,601.6,5944.02,3747.59,481.54,502.78,82.05,10.41
70803,82,94,101,193,16120,250000,197.3,820.39,3124,1744.67,187.3,271.9,25.69,1.48
70805,2341,480,582,3401,25846,81434,233.97,590.83,3802.4,2285.23,242.93,350.67,46.49,3.61
71468,98,19,19,202,36467,98780,283.43,677.06,5329.62,3234.25,346.16,492.06,62.23,7.69
71483,1217,246,271,2339,32270,80361,271.94,631.7,5477.04,3412.66,414.75,478.56,74.29,8.85
70791,2311,940,872,6430,64931,215901,539.58,1378.77,8404.67,4925.18,406.91,828.89,82.77,7.7
70801,9,5,2,15,28495,62500,274.65,842.92,4229.02,2436.69,243.04,387.48,38.83,2.67
70092,634,145,158,1188,34640,127921,299.28,732.2,5198.3,3129.48,324.34,479.41,58.26,5.68
71473,62,9,11,119,36075,75595,245.92,566.54,5244.53,3288.89,401.57,453.77,71.51,9.4
70040,137,31,30,297,36811,133219,340.05,803.14,6487.89,3950.29,441.83,593.69,77.46,9.31
71467,932,192,189,1923,44858,125704,361.81,867.91,6669.26,4023.73,420.96,621.89,75.51,9.14
70124,1413,1726,1167,4956,75203,365595,795.6,2065.62,11338.35,6561.8,505.13,1130.69,100.13,8.42
71272,116,132,142,271,0,0,0,0,0,0,0,0,0,0
71055,1877,526,520,3880,38189,96458,335.61,832.32,5766.58,3492.06,370.44,533.81,71.78,6.99
70443,1046,253,232,2304,42871,132766,341.33,807.85,6256,3777.76,400.71,580.97,71,8.16
71438,197,36,37,391,41093,94018,318.77,756.47,6126.58,3739.35,411.4,559.04,73.54,9.17
70003,3119,1865,1621,8824,54869,202025,503.03,1305.78,7484.89,4406.3,359.49,735.48,77.58,6.84
70005,1748,1407,1337,6168,58143,293432,665.23,1742.51,9676,5662.79,448.84,961.04,94.56,8.48
70115,2516,2368,1819,6919,52431,382262,644.06,1611.85,9246.92,5382.34,459.34,890.19,82.53,6.46
71040,1059,243,246,2076,32663,92415,277.62,646.41,5280.41,3270.67,385.66,467.78,71.57,8.05
70526,1871,461,450,3259,34880,108738,313.1,770.03,5511.31,3351.53,367.47,501.99,69.05,6.72
71070,250,39,38,379,34792,64028,247.8,559.91,5458.11,3437.53,437.3,463.8,75.15,9.6
70659,117,46,34,359,34786,125987,339.95,831.77,5363.77,3122.25,253.43,528.13,49.59,4.41
71107,3139,771,829,6087,36857,127928,361.95,901.9,5999.84,3595.24,360.58,565.66,69.83,6.57
70085,479,118,117,986,38553,134119,316.07,732.51,5958.27,3628.69,400.66,547.74,71.13,8.5
71209,19,10,5,32,0,0,0,0,0,0,0,0,0,0
71280,410,145,129,1001,51967,153922,484.52,1244.42,8011.37,4808.96,461.77,756.97,93.69,9.15
70655,384,67,64,623,39466,90038,268.04,603.54,5871.98,3694.12,475.03,500.01,80.94,10.16
71068,369,74,69,672,30630,71642,250.11,562.98,5439.62,3417.92,441.02,464.76,74.96,9.32
70660,301,64,63,640,46111,118438,319.79,774.2,5708.11,3411.64,340.77,541.97,61.6,7.34
70663,2468,876,823,6013,50176,130767,418.58,1050.12,6903.38,4116.59,393.05,657.56,76.08,7.44
70706,1759,806,666,5563,65808,193039,504.91,1273.48,7841.01,4563.66,361.2,777.66,72.87,6.5
70121,1058,439,446,2535,43170,191024,400.77,1016.66,6015.28,3567.86,315.96,577.77,64.99,5.52
70122,3123,1065,1030,6691,39331,188793,420.5,1060.14,6496.42,3856.56,361.11,622.95,73.77,6.24
71292,2068,587,571,4361,39589,114507,344.99,853.38,5900.59,3534.02,353.94,555.33,65.5,6.61
70375,13,3,3,29,50000,112500,319.64,720.1,6852.12,4295.2,555.84,589.54,94.32,11.56
71423,496,133,124,1075,43053,132206,356.36,880.16,6312.12,3805.53,386.07,592.4,73.27,8.35
71429,405,75,80,726,42613,97289,311.51,708.14,6302.53,3916.45,459.01,555.76,82.91,10.65
71430,291,64,62,606,39581,140260,360.17,866.43,6608.9,3989.11,416.63,615.98,75.14,9.05
71433,535,101,100,986,36927,94613,259.7,596.62,5473.31,3420.85,423.62,474.57,73.65,9.23
71457,2579,1111,812,5148,28476,148692,338.48,874.24,5557.59,3307.82,329.77,518.14,59.38,5.5
70726,4882,1625,1495,11670,56511,187646,475.23,1170.53,7566.07,4429.71,369.2,736.49,70.52,6.33
70130,1088,915,884,3101,53399,361273,642.85,1575.8,9136.05,5293.93,466.72,864.78,77.42,5.8
71328,676,216,176,1800,52768,141788,408.38,998.51,6718.3,3949.25,347.78,653.38,66.07,6.68
70787,12,3,3,26,38441,105000,281.39,633.95,6032.41,3781.38,489.34,519.02,83.05,10.17
71112,2725,1363,1238,7977,53196,146696,461.6,1186.27,6958.03,4076.63,334.78,681.36,68.02,5.9
71351,1123,273,264,2258,33190,97050,310.63,751.43,5678.9,3460.33,381.51,520.34,70.78,7.8
70517,2849,683,634,5570,43406,116540,376.14,901.11,6577.91,3945.26,394.64,619.81,72.06,7.74
70463,14,3,3,30,55620,186111,502.95,1220.89,8880.11,5289.93,520.07,848.18,94.14,11.11
70402,143,160,80,383,0,0,0,0,0,0,0,0,0,0
70139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70340,10,2,2,15,41523,83333,329.72,746.32,5425.64,3214,288.68,522.28,50.24,4.48
71203,3317,1288,1099,7726,41083,141705,409,1060.91,6404.41,3772.11,344.97,611.64,65.97,5.49
71220,2085,466,495,4164,28157,93608,259.42,629.28,4638.44,2828.38,312.71,423.86,59.11,6.15
71371,293,46,43,415,48775,84071,367.02,825.05,8151.65,5139.46,660.4,689.51,112.52,14.27
71377,18,3,3,25,39933,126389,270.73,608.61,6013.24,3791.24,487.15,508.63,83,10.54
71410,18,3,3,25,32911,80882,218.96,492.22,4863.24,3066.18,393.98,411.35,67.12,8.51
71414,22,5,5,48,26264,84722,216.98,488.83,4651.48,2915.75,377.32,400.21,64.03,7.85
71416,84,20,19,186,32588,96512,228.27,514.86,4892.18,3066.69,395.7,421.03,67.31,8.28
71417,492,119,122,964,36360,94318,278.27,623.91,5585.48,3465.13,412.75,496.11,72.91,8.96
71418,744,166,131,1204,37259,88536,319.52,737.68,6472.97,4032.38,488.76,564.27,85.73,10.27
70582,2234,451,421,4068,42689,119907,329.58,773.9,6399.63,3927.03,448.91,575.29,79.5,9.4
70079,275,126,107,698,58160,168500,474.04,1237.02,7163.89,4221.96,354.13,703.77,79.58,6.4
70585,32,5,5,46,57808,77976,323.11,726.33,7176.34,4524.55,581.39,607.02,99.06,12.57
70589,319,71,69,688,35000,141842,315.71,738.05,6202.3,3805.92,442.31,558.75,77,9.35
71222,357,85,88,644,38439,85364,283.64,627.52,5771.6,3595.35,433.37,508.84,76.56,9.47
71226,181,34,35,370,41756,76587,296.04,677.84,6252.15,3908.56,485.03,542.86,84.51,10.71
71232,653,112,143,1274,39417,89444,355.36,849.85,6893.76,4271.72,511.55,606.17,92.07,10.34
71238,311,63,64,650,48716,124061,352.27,846.85,6501.79,3927.6,411.14,605.66,74.27,9.05
71251,974,174,192,1877,38468,86191,304.27,723.4,5743.18,3540.53,407.03,513.78,75.83,8.47
71001,472,105,111,888,28697,84080,269.42,651.28,5198.19,3212.08,384.32,457.14,67.2,7.52
71019,924,162,159,1523,34526,79156,293.54,674.23,6131.02,3834.5,479.73,529.57,83.88,10.11
71027,176,37,36,371,48437,98295,345.77,835.38,6219.24,3725.65,376.39,588.04,67.95,8.13
70113,786,276,302,1296,20126,171396,267.2,664.71,4178.79,2497.2,255.36,386.25,47.16,3.5
