zip,med_income,bought_car,child_exp,polit_dem,polit_rep,disp_inc,bach_deg,rel_club,bar_club,food_exp,health_ins,male_pop,fem_pop,married
70634,41170,2862,1558,4915,6202,48881,2420,606,2816,63711635,30136326,13021,13346,11483
70748,39960,540,534,1447,1379,48167,390,246,482,10808116,5271486,4175,2340,1805
70810,75621,4510,3130,9934,8401,77672,8355,1312,6316,173374198,74446374,19979,21051,16206
70722,42640,733,419,1051,1316,52600,478,208,538,16673357,8122550,2831,2927,2461
71409,46564,788,469,1244,1832,52559,571,158,669,19637405,9456463,3642,3614,3219
71424,50128,149,87,216,372,56801,88,31,149,3757972,1793556,702,683,592
71032,49444,277,182,428,517,60683,164,65,160,7942443,3980391,1130,1125,980
70712,50646,45,656,1813,889,51043,426,184,698,1014033,432072,5402,223,1491
71355,40320,371,235,557,662,48686,200,73,223,8121149,4080070,1440,1543,975
71295,30371,1456,972,3815,2466,40729,736,366,1198,30238042,14461527,7257,7493,5014
70812,35152,809,435,5472,534,38251,1060,505,964,17880269,8161378,5241,6221,3159
71447,37198,198,121,299,330,39868,121,53,92,3384358,1679498,768,788,522
71006,67888,1594,1071,3144,3312,66025,1790,438,1938,46455386,21742509,7036,7288,6974
70836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70352,40751,32,20,57,44,45182,11,5,19,627711,313469,112,118,82
71404,42191,102,64,151,180,49778,2,28,51,2247599,1122650,420,398,330
71479,40960,89,64,164,164,43830,42,19,61,1724923,864809,441,290,299
71422,35522,167,115,219,388,41357,50,39,109,3262248,1647089,765,714,639
70449,53780,432,241,706,899,58565,207,79,425,12031674,5758212,1866,1867,1703
71360,45146,3826,2442,7286,8582,50522,3897,1086,4604,89721605,40907452,18134,19239,14486
70648,42998,806,575,1837,1867,49809,402,188,797,18635144,8959291,4798,3872,2957
71340,31890,121,163,469,357,44177,112,45,155,2274742,1135970,1228,441,508
71008,38133,92,57,113,188,44296,44,21,52,1908767,961682,362,360,307
70446,48349,725,382,1114,1775,50107,568,146,675,15864718,7404202,3380,3413,2843
71018,36265,242,133,331,353,38089,102,63,117,3721593,1839800,869,900,676
70125,38136,1233,939,6282,2016,50613,2395,469,2734,44736871,18956890,7862,9061,3539
70065,56384,5212,3809,12856,9487,62357,7412,1435,7048,154732626,68267320,24942,26029,20152
70754,54134,1230,624,2004,2990,57365,794,213,1121,31733172,14919182,5966,5782,5065
71342,35776,990,679,1939,1494,43825,496,199,623,18034946,8994669,4012,4029,3224
70436,22523,82,52,142,120,30757,38,25,34,995991,492151,337,357,223
71064,36938,528,368,966,912,41696,339,132,310,9274759,4623664,2268,2059,1415
70541,36839,56,31,83,77,54395,29,15,25,1269071,625464,209,230,134
71241,38878,1019,666,2678,1983,48303,659,308,960,27347656,12994444,5389,5320,4140
70422,33668,1531,940,3533,2742,41149,1257,411,1135,29326087,14126130,7498,7293,5416
70043,41786,1826,1168,4617,2873,45723,1492,493,2307,43199847,18204871,9825,9616,6106
70052,51321,456,296,625,986,52987,214,168,498,10274276,4992054,2015,2172,1510
70053,35769,1489,1024,4770,2230,44018,1171,421,2126,37364596,16042827,8574,7956,5040
70586,34619,2250,1475,5837,3225,42934,1330,539,1689,47323187,22605101,10232,10648,8045
71469,38826,356,216,584,612,48386,171,70,222,7539342,3731587,1409,1450,1257
70510,42621,2665,1647,6174,4872,48937,1630,637,2539,63754536,29950419,12559,13411,9799
70535,36501,1977,1285,4200,3346,43672,1000,456,1720,41297762,19988127,8867,9664,6801
70563,61767,2130,1384,3487,4955,65414,2298,587,2424,63204576,29754722,9524,9946,8642
71354,36519,202,138,308,411,43581,132,44,131,4003981,2014756,906,847,837
70739,62676,1503,1030,2471,3626,65773,2016,398,1990,43066242,19759035,6808,7067,6693
70554,25727,717,416,1248,1012,34011,311,141,396,10816435,5276210,2799,3039,1720
70546,40034,1729,1172,4451,2787,47392,1002,424,1537,39106487,18993606,8206,8574,6326
71115,52930,1650,894,3927,3146,63480,2623,453,1979,58350551,24854528,6978,7979,5385
71441,37426,91,60,173,132,45034,27,17,57,1736749,867305,372,356,331
71031,34498,135,93,267,203,40851,49,25,88,2267460,1132334,560,523,482
70657,47010,528,255,815,1259,51664,378,82,460,11930255,5657470,2535,2452,2469
71326,27679,154,88,240,204,41561,30,42,58,2627129,1298538,575,628,411
71343,36270,874,580,2164,1177,42297,516,202,586,16903105,8308269,3881,3589,3109
70764,44490,2021,1115,4183,3847,51772,1072,559,1640,48631379,23309816,9147,9516,6583
71227,39536,463,226,672,1074,50515,635,77,412,10023423,4744173,1943,2010,1972
70515,34214,426,325,938,760,42059,155,90,323,7475406,3715278,2213,1755,1462
70542,39162,472,303,871,664,46352,125,83,287,9306439,4647489,1713,1804,1688
70435,60720,2015,1368,3854,4629,65945,2975,630,2632,61492024,28862389,9442,9799,9144
70550,26234,24,15,42,32,31501,41,4,14,310477,155047,88,92,77
70559,39105,376,261,750,572,45282,147,71,247,7124467,3557846,1601,1559,1354
70773,50000,18,10,23,43,53443,7,4,13,453227,221683,80,79,59
70775,56953,1151,710,1847,2541,59443,1247,269,1111,29774937,14221643,4917,5103,3268
70780,53247,129,60,192,297,59940,89,19,108,3499990,1659737,559,548,510
70032,35986,425,267,1114,619,40757,406,109,480,9067044,3858715,2279,2080,1470
71435,37346,504,356,1005,795,46568,223,123,300,10007009,4983187,2337,1924,1596
70444,36775,1168,636,2366,2124,42827,644,273,845,23301048,11094579,5358,5466,4139
70431,60303,672,398,1009,1639,65079,545,153,756,19731538,9343641,2946,3008,3121
71463,33386,864,778,2628,2165,39843,495,276,1049,17956677,8700688,6292,4563,3898
70570,29010,3663,2183,11591,5949,38063,2652,1139,3544,74390916,34653246,18826,20808,12292
70578,42788,1952,1122,3818,3486,48100,948,433,1529,41730121,19969560,8567,8920,6506
70580,37149,27,16,46,35,43234,24,4,15,493354,246373,95,98,79
70803,16120,36,94,385,313,22817,128,40,565,584188,185696,680,726,151
