zip,Comp.1,Comp.2
70634,-4.511769662,-0.712655549
70748,0.956746631,-0.097596595
70810,-11.80313123,2.145196524
70722,0.824740929,0.369920628
71409,0.505492638,0.565767692
71424,2.02446528,1.232853278
71032,1.69978627,1.382118662
70712,1.177742839,0.659915207
71355,1.767443279,0.143724108
71295,-0.847053876,-1.434305812
70812,-0.014261094,-1.37990267
71447,2.272168358,-0.494891422
71006,-2.312421316,2.180607748
70836,3.419084503,-4.823230574
70352,2.537076826,0.072784164
71404,2.321014401,0.396042597
71479,2.410893984,-0.017676852
71422,2.298929071,-0.488967179
70449,1.296258846,1.443135628
71360,-7.765112035,-0.937382376
70648,0.411982978,0.1187171
71340,2.270723404,-0.547743375
71008,2.430507416,-0.142436439
70446,0.708671853,0.541682179
71018,2.241143936,-0.663105144
70125,-1.948775128,-0.627785514
70065,-12.85043355,-0.348672111
70754,-0.699076487,1.118096345
71342,0.514051895,-0.643416252
70436,2.740549203,-1.804398042
71064,1.509462842,-0.53195813
70541,2.42358987,0.38968416
71241,-0.207300855,-0.325272222
70422,-1.028814831,-1.209549971
70043,-2.199166283,-0.703838976
70052,1.274772295,0.940110888
70053,-1.472152512,-1.066864207
70586,-2.690236698,-1.392647603
71469,1.804191823,0.043981717
70510,-4.150998998,-0.738886382
70535,-2.036179743,-1.063797718
70563,-3.689462667,1.650128504
71354,2.177823118,-0.315496366
70739,-2.118022561,1.951151371
70554,1.448005289,-1.661024137
70546,-1.737689681,-0.613032386
71115,-2.383344228,1.18092613
71441,2.436851017,-0.142522253
71031,2.412102736,-0.567488916
70657,1.194122466,0.635477538
71326,2.451505356,-0.90784518
71343,0.671110858,-0.705255942
70764,-2.394011857,-0.150544876
71227,1.420306224,0.191559582
70515,1.702197065,-0.642417908
70542,1.621934475,-0.101078621
70435,-3.821790993,1.598992912
70550,2.815774047,-1.530194579
70559,1.786484579,-0.145459217
70773,2.392559011,1.073928993
70775,-0.574073728,1.421663233
70780,2.03277404,1.602256997
70032,1.603256198,-0.640411284
71435,1.484819551,-0.223059886
70444,-0.03429145,-0.739843061
70431,0.421005888,2.103859153
71463,0.106944766,-1.133465833
70570,-6.739935412,-2.929972903
70578,-1.923947828,-0.388470706
70580,2.597088945,-0.238440474
70803,2.684000439,-2.668221235
70805,-2.983170948,-3.315000881
71468,2.449760145,-0.424706905
71483,-0.088459327,-1.146034194
70791,-5.952587079,1.47625305
70801,2.813057818,-1.321070054
70092,0.95064303,-0.934151054
71473,2.561239102,-0.518277572
70040,2.23364214,-0.033674565
71467,0.587446386,0.247924054
70124,-5.702953163,3.279951694
71272,2.983251376,-4.932826807
71055,-2.643332052,-1.080030843
70443,-0.346548775,-0.125321323
71438,2.128352761,0.113881841
70003,-10.00220045,-0.139858602
70005,-6.435744297,1.488654407
70115,-9.271242933,0.282216977
71040,0.253934709,-1.182501652
70526,-1.959859985,-1.339873893
71070,2.199269742,-0.597158499
70659,2.25534494,-0.399153829
71107,-5.784914373,-1.835407633
70085,1.377274133,-0.261250663
71209,3.388772197,-4.830020414
71280,0.992571948,1.453533248
70655,1.798502124,-0.259199487
71068,1.823459201,-0.950840907
70660,1.903687559,0.259674115
70663,-5.382369168,-0.080789893
70706,-4.393633992,1.547502784
70121,-0.822507366,-0.183464007
70122,-7.034853202,-1.843436725
71292,-3.104402819,-0.895258958
70375,2.428894384,0.884028522
71423,1.246821723,0.254097575
71429,1.651012302,0.158310017
71430,1.855717595,0.118335553
71433,1.42984118,-0.603678034
71457,-4.359549466,-2.106816924
70726,-13.3505114,-0.606667624
70130,-3.207621106,1.122370488
71328,0.226290207,0.914610914
70787,2.591900925,-0.10020986
71112,-7.702299418,-0.16437091
71351,-0.231415087,-1.041315067
70517,-4.801638019,-0.685053397
70463,2.219449241,2.11367002
70402,3.070402061,-4.902809164
70139,3.419084503,-4.823230574
70163,3.419084503,-4.823230574
70340,2.615825779,-0.119072652
71203,-7.716512569,-1.394183512
71220,-2.639618978,-2.240887574
71371,1.805675528,1.118141284
71377,2.599801192,-0.091963991
71410,2.729257145,-0.895184708
71414,2.784613657,-1.4053073
71416,2.508295665,-0.912835545
71417,1.409287568,-0.590866948
71418,0.916533723,-0.275445938
70582,-2.823208541,-0.558285693
70079,1.439058003,1.657948506
70585,2.309386604,1.425069497
70589,1.768981469,-0.371551567
71222,1.770385233,-0.332605207
71226,2.114208752,0.121307605
71232,0.793393014,-0.02545723
71238,1.704873135,0.726812057
71251,0.392954229,-0.543559906
71001,1.619047667,-1.198309974
71019,0.529249858,-0.710925513
71027,2.067768705,0.611027432
70113,0.803843527,-2.393082665
70633,0.481425277,-0.031731517
71028,2.256013955,-0.765130477
70116,-1.29451649,-0.990640116
71261,2.277284364,-0.908628968
71263,0.56294128,-0.913778479
71268,1.730403768,0.358837085
71269,-0.521484147,-1.26856045
71270,-5.923331199,-1.837333861
71037,-3.962179535,1.231122648
71051,1.533066041,1.875074144
70537,2.363451263,0.562768944
70656,1.627875381,-0.455939918
70441,1.288293284,-0.330651843
70650,2.211611609,1.716232724
71219,2.018639721,1.226186026
70558,1.949364041,3.729493255
70788,1.497805782,-0.438751303
70401,-3.371442226,-0.599601754
70774,-0.732412795,1.369093557
71043,2.43137456,-0.011282536
70737,-10.66547017,0.40528271
71264,2.361370276,-0.294211366
70584,0.347384343,0.028744887
70123,-6.666961168,1.145962111
70647,-0.203060089,0.952604266
70452,-1.189068861,0.008442061
71259,2.146963431,-0.056357295
70391,2.440339129,0.633099113
70071,1.290482849,1.782724225
71466,2.436558152,0.063486272
70001,-9.386146054,-0.614068169
71103,1.365529982,-2.734482643
70740,2.035203976,1.13069884
70782,2.547455188,-0.107020221
70374,0.339556243,1.144087782
71303,-4.11816883,0.734943861
70662,2.310247079,1.122752032
70131,-6.507884544,0.002888922
70637,2.300924842,0.792159069
70789,2.534057839,-0.716692495
71024,2.146290701,0.444565745
70438,-2.196041232,-1.369928005
70814,-1.571025858,0.314962081
71368,2.375964387,-0.968645043
70041,1.963292559,-0.070381073
70607,-4.542525392,-1.068606132
70525,-0.750199383,-0.893227986
70094,-5.275655729,-1.602504017
71108,-1.36775616,-2.429773417
71044,2.521562857,-0.646622515
71411,1.929421461,-0.634542289
70516,1.927419069,1.247385756
71455,2.619760593,-0.435692935
70397,2.244738363,0.013251343
70117,-3.824772904,-3.140171434
70532,1.793142476,0.323029194
71065,2.202737999,0.212380113
70769,-12.18055003,2.901840265
70518,-2.337477514,2.280245877
71247,2.389000395,-0.651153182
70732,2.169033755,0.495892019
70442,2.4074708,0.770522476
70816,-10.663524,-0.539899093
71279,2.619198002,-0.124351706
70785,-4.249215649,0.857158295
70039,1.755147196,0.731932217
70591,1.205107434,-0.438019193
70645,1.89640815,1.542823427
70114,-3.058830561,-1.920288682
70501,-4.85241349,-2.854562458
71250,2.676401029,-0.700363987
71452,2.742436776,-0.876861719
70030,1.028110222,1.172485473
70640,2.352946528,1.092823601
70353,2.376402638,-0.646969984
70047,-2.216565725,3.270716755
71350,1.656480193,-0.989787918
71407,2.256647975,0.607834941
71465,1.788034409,-0.300189243
70363,-3.834403324,-1.033887842
70733,1.817991387,1.789961086
71034,2.366940048,0.975272946
70807,-1.18634186,-3.027844754
71237,2.296208333,-0.585659839
71362,1.958085801,0.316846317
71129,-1.086290436,-0.328102
70783,1.575023916,1.487388012
71110,1.830919392,0.035925225
71316,2.666606596,-0.397275068
71079,2.813870922,-1.650985102
71427,2.566645779,-0.419600775
71234,1.168715566,1.182114116
70729,2.065297258,1.421173557
70575,2.102644734,2.937762825
70075,0.892796203,1.701334841
70031,1.93916766,1.340167035
70819,1.127070264,0.963979975
71073,2.055577955,-0.466624842
71253,2.69227038,-0.8604809
70372,1.880272396,0.313099159
70049,2.057534769,-0.774113866
70050,2.513073787,0.484841433
70051,2.113076862,-0.573786975
70037,-2.338537709,1.661912966
70038,2.363017121,0.819434321
70002,-4.096742643,1.585748161
71021,2.782882209,-2.128273977
70359,0.275827519,0.352063899
70524,2.695883735,-0.987847458
70611,-3.934032064,2.033081774
