OBJECTID,DISTRICTID,STFIPS,CDFIPS,State,CongressParty,CongressionalDistrictCode,CD,Trump,2018MedianAge,2018TotalHouseholds,2018MedianHouseholdIncome,2018AverageHouseholdIncome,2018MedianNetWorth,2018AverageNetWorth,Govtshouldfocusslightlymoreonenvironissues:Percentage,Govtshouldfocussomewhatmoreonenvironissues:Percentage,Govtshouldfocusmoreonenvironmentalissues:Percentage,Amnotinterestedinhowtohelptheenvironment:Percentage,Amslightlyinterestedinhowtohelptheenviron:Percentage,Amsomewhatinterestedinhowtohelptheenviron:Percentage,Aminterestedinhowtohelptheenvironment:Percentage,Globalwarmingisnotaseriousthreat:Percentage,Globalwarmingisaminorproblem:Percentage,Globalwarmingisaproblem:Percentage,Globalwarmingisaseriousthreat:Percentage,Amnotmoreenvironconsciousthanmostpeople:Percentage,Amslightlymoreenvironconsciousthanmost:Percentage,Amsomewhatmoreenvironconsciousthanmost:Percentage,Ammoreenvironconsciousthanmostpeople:Percentage,Company`senvironrecordnotimportantwhenbuying:Percentage,Company`senvrecslightlyimportantwhenbuying:Percentage,Company`senvrecsomewhatimportantwhenbuying:Percentage,Company`senvironrecordimportantwhenbuying:Percentage,Rarelypaymoreforenvironsafeproduct:Percentage,Occasionallypaymoreforenvironsafeproduct:Percentage,Frequentlypaymoreforenvironsafeproduct:Percentage,Usuallypaymoreforenvironsafeproduct:Percentage,Rarelyvaluegreenproductsoverconvenience:Percentage,Occasionallyvaluegreenproductsoverconvenience:Percentage,Frequentlyvaluegreenproductsoverconvenience:Percentage,Usuallyvaluegreenproductsoverconvenience:Percentage,Rarelybuynaturalproductsforenvironconcern:Percentage,Occasionallybuynaturalprodsforenvironconcern:Percentage,Frequentlybuynaturalprodsforenvironconcern:Percentage,Usuallybuynaturalproductsforenvironconcern:Percentage,HHisbetternowfinanciallythanlast12months:Percentage,HHisaboutthesamefinanciallythanlast12mo:Percentage,HHisworsenowfinanciallythanlast12months:Percentage,HHwillbebetterfinanciallyinnext12months:Percentage,HHwillbeaboutthesamefinanciallynext12mo:Percentage,HHwillbeworsefinanciallyinnext12months:Percentage,2018Education:<9thGrade:Percentage,2018Education:HighSchool/NoDiploma:Percentage,2018Education:HighSchoolDiploma:Percentage,2018Education:GED:Percentage,2018Education:SomeCollege/NoDegree:Percentage,2018Education:Associate'sDegree:Percentage,2018Education:Bachelor'sDegree:Percentage,2018Education:Grad/ProfessionalDegree:Percentage,2018EmployedCivilianPop16+:Percentage,2018Industry:Agriculture:Percentage,2018Industry:Mining:Percentage,2018Industry:Construction:Percentage,2018Industry:Manufacturing:Percentage,2018Industry:WholesaleTrade:Percentage,2018Industry:RetailTrade:Percentage,2018Industry:Transportation:Percentage,2018Industry:Utilities:Percentage,2018Industry:Information:Percentage,2018Industry:Finance/Insurance:Percentage,2018Industry:RealEstate:Percentage,2018Industry:Professional/TechSvcs:Percentage,2018Industry:Management:Percentage,2018Industry:Admin/WasteMgmt:Percentage,2018Industry:EducationalServices:Percentage,2018Industry:HealthCare:Percentage,2018Industry:Arts/Entertainment/Rec:Percentage,2018Industry:Accommodation/FoodSvcs:Percentage,2018Industry:OtherServices:Percentage,2018Industry:PublicAdministration:Percentage,2018UnemployedPopulation16+:Percentage,2018Occupation:Management:Percentage,2018Occupation:Business/Financial:Percentage,2018Occupation:Computer/Mathmatical:Percentage,2018Occupation:Architecture/Engineer:Percentage,2018Occupation:Life/SocialSciences:Percentage,2018Occupation:SocialService:Percentage,2018Occupation:Legal:Percentage,2018Occupation:Education/Library:Percentage,2018Occupation:Arts/Entertainment/Rec:Percentage,2018Occupation:HealthPractices:Percentage,2018Occupation:HealthSupport:Percentage,2018Occupation:ProtectiveService:Percentage,2018Occupation:FoodPreperation:Percentage,2018Occupation:BuildingMaintenance:Percentage,2018Occupation:PersonalCare:Percentage,2018Occupation:Sales:Percentage,2018Occupation:Office/Admin:Percentage,2018Occupation:Farm/Fish/Forestry:Percentage,2018Occupation:Construction/Extraction:Percentage,2018Occupation:Maintenance/Repair:Percentage,2018Occupation:Production:Percentage,2018Occupation:Transportation/Moving:Percentage,2018GenerationAlphaPopulation:Percentage,2018GenerationZPopulation:Percentage,2018MillennialPopulation:Percentage,2018GenerationXPopulation:Percentage,2018BabyBoomerPopulation:Percentage,2018Silent&GreatestGenerationsPopulation:Percentage,Education-DidnotFinishHighSchool(%),Education-HighSchoolDegreeorGED(%),Education-CollegeDegree(%),2018Industry-BlueCollar,CongressionalDistrictCode
1,101,1,1,AL,Republican,AL-01,AL-01,1,39.9,282245,48449,66561,80632,583756,17.51873707,44.83111457,30.4658244,8.241481505,26.07602274,49.03765439,16.64113018,12.95238903,21.27410282,34.931617,30.86786944,15.0649369,39.52394333,35.20235678,10.20628887,15.97753496,35.37748937,37.50947678,11.13037393,16.11855999,28.87973463,41.63808171,13.36114955,17.2840488,33.05799875,38.42278173,11.2303992,16.8784693,30.9042744,40.50687718,11.71497392,27.33870925,54.0652497,18.59886862,40.2843828,49.9552007,9.754231193,3.598177394,9.473222543,27.16444332,5.087776397,21.5436183,8.794905278,15.79776699,8.540089781,94.35823559,1.151016904,0.313737642,7.420282558,11.80744514,2.707762424,12.52303809,4.248691953,1.360820882,1.330802775,3.2358229,2.493762366,5.576589749,0.012588239,4.595675456,7.970937307,14.18791335,1.542866181,8.485763993,4.852927411,4.18155468,5.641764407,8.188165119,3.531807897,1.427312605,2.001852731,0.472543115,1.324024492,0.862455739,5.374209604,1.166510121,6.848001859,2.400803065,2.059306743,6.360611078,4.622788585,2.72196454,11.64734856,13.8638469,0.529997127,6.109169079,4.048571235,7.387359472,7.051350331,2.368841178,22.19295348,23.15854666,19.68208092,24.01596477,8.581612992,13.07139994,32.25221971,33.13276205,20.69248224,AL-01
2,102,1,2,AL,Republican,AL-02,AL-02,1,38.9,273016,44959,62049,61782,492822,17.9597902,44.48991077,30.04571971,8.519387658,25.97857831,48.64440881,16.79068245,13.23609466,21.57837822,35.06477265,30.01206441,15.53881577,39.49605332,34.87130068,10.05226686,16.19536991,35.28399185,37.07195245,11.30873125,16.73587765,28.78024379,41.06663381,13.26717524,17.49873103,32.77492515,38.52133709,11.04077624,17.60576591,30.5683883,40.35821741,11.34606472,27.30106593,53.56782922,19.00475956,40.54745948,49.94887338,9.635713603,5.025087995,10.70337918,25.7168593,5.909616649,21.43692221,8.413215507,13.97584396,8.819075197,95.02533453,1.723162613,0.222257182,5.935672612,12.62614936,2.760139647,12.03870756,4.616187955,1.310447092,0.996140625,3.647829478,1.307099845,4.566313978,0.008368117,3.947742784,8.363765385,12.84673292,1.682660927,7.493481237,5.318775042,8.58836564,4.974665466,8.45012435,3.694356207,1.816216071,1.14844035,0.51078985,1.59261999,0.94492775,5.777013118,1.09823165,5.569483821,2.391607783,2.843486091,5.809146686,4.280459108,3.212352679,10.6201444,14.07651137,0.702252362,4.903046999,4.594765576,8.561922391,7.402101401,2.358432201,21.96009427,24.62239475,19.97631784,22.9068051,8.175955847,15.72846718,31.62647595,31.20813467,20.50724177,AL-02
3,103,1,3,AL,Republican,AL-03,AL-03,1,38.6,285767,43754,61364,66213,487769,18.10679629,44.46687965,29.86841134,8.595790147,26.01986483,48.99463312,16.38250686,13.18909192,21.61494853,35.06939685,30.12621124,15.75039628,39.72508374,34.47014828,10.05226291,16.4471765,35.34881187,36.74483258,11.45390707,16.68300981,29.33225082,40.89159752,13.08839707,17.66746449,32.85323155,38.31887053,11.15445851,17.68117165,30.47275616,40.66068472,11.18907786,26.6368624,54.51562791,18.84768542,39.90011352,50.46358291,9.628219863,5.139053248,11.0224762,25.25686069,5.773055125,22.11873535,8.117349619,13.22227059,9.350199173,93.82432103,0.942751428,0.108109174,6.329479959,16.42372224,2.070175669,11.31564593,3.229474044,1.307496665,1.18065733,4.135093749,1.542116574,4.063459099,0.009857979,4.058858709,10.87269405,12.80485801,1.063347375,7.727012835,4.759103844,6.056085331,6.175678967,8.42265758,3.396731094,1.691629261,1.460295345,0.603636937,1.675856494,0.735405262,6.686338812,1.104750889,5.882256294,2.227246141,2.271935647,5.410059082,4.292821419,2.970209186,10.19315068,13.10059739,0.414363733,5.128449471,4.460735668,10.88780962,6.983063991,2.248541356,22.01895199,24.9676703,19.80931705,23.20580522,7.749714086,16.16152945,31.02991581,30.68981939,23.8040628,AL-03
4,104,1,4,AL,Republican,AL-04,AL-04,1,41.6,277000,41073,57814,72324,472240,18.72235899,44.94405039,28.81212711,9.354686488,26.2330313,48.76413372,15.64119823,14.2869946,21.60671761,35.1946622,28.9352199,17.45210721,39.05041135,34.27375252,9.214400942,16.79475877,35.5322986,37.20054432,10.46508225,17.66226118,29.05977591,40.77243014,12.4974851,18.24846088,32.78255557,38.83787966,10.12451943,19.00677102,30.73972733,39.9683946,10.28547286,24.62020478,55.56258711,19.81684231,37.25834123,52.39674289,10.33321018,7.248602843,12.10815762,27.0381883,6.539183225,21.23436177,8.895809946,10.33511516,6.600581153,95.19265909,1.781675787,0.555966607,7.210813603,19.70871957,2.773550927,11.72799866,3.831388206,1.62846214,1.103906075,3.03356042,1.20546683,3.64292495,0.005933103,3.291475877,8.398481126,13.89253406,0.973726826,6.177755752,5.154470069,3.901189413,4.807340913,7.038404624,2.76447677,0.774095376,1.377177798,0.329112687,1.556217891,0.5671348,5.398425285,0.784914563,6.992335828,2.230497543,1.928607326,4.815585213,4.663069578,3.034607438,9.858722359,12.20055283,0.784914563,6.530600849,4.660626536,12.4130975,9.296822649,2.258502034,21.49782202,21.82003459,20.39942877,24.78238093,9.24183166,19.35676046,33.57737152,25.83150626,29.25717556,AL-04
5,105,1,5,AL,Republican,AL-05,AL-05,1,39.9,292109,54483,75791,103735,728817,17.80029449,45.33486576,29.66482857,8.256406405,26.1477032,49.34176167,16.28661707,13.15987585,21.10502294,34.5889089,31.21623439,14.99407,39.55892705,35.37264656,10.11243413,15.71527633,35.81874997,37.6786204,10.78840131,16.13343278,29.09820388,41.8193124,12.94852693,17.41253037,33.56849539,38.46550209,10.54910544,16.38600346,30.89798834,41.00378507,11.72479926,28.19691431,53.81781724,17.99539923,40.34615808,50.29091042,9.46301656,4.284933798,8.415432468,21.15347065,5.416866367,20.7481524,8.123327199,19.77164113,12.08617599,94.81765781,0.929312522,0.092251195,6.253566603,15.03635348,1.876069981,10.85134252,2.58953836,1.567974643,1.714039035,2.84293347,1.484593755,11.08906675,0.023062799,4.218126769,8.149742613,11.60295322,1.32818067,7.054259669,4.862111074,6.43452087,5.182342189,8.97911634,5.059031895,4.15485191,4.905279903,0.599337092,1.386724698,0.581300801,5.37599754,1.466261786,5.590658975,1.774948478,1.759573279,5.5634567,4.289976257,2.929566804,10.08790474,12.62658668,0.36723072,4.852058059,3.443748947,8.376231125,5.830157271,2.199057016,21.61756381,23.70188142,20.64703103,23.55546128,8.279005445,12.70036627,26.57033702,39.98114432,22.3114838,AL-05
6,106,1,6,AL,Republican,AL-06,AL-06,1,39.3,277615,63931,89091,152489,915997,18.14472492,44.65379927,30.24396919,7.912027759,25.69788442,49.56847577,16.81603005,12.77538592,21.15450062,34.25004096,31.82313359,14.01494894,39.40456319,36.05320542,10.51863936,15.19599105,36.14467811,37.84988755,10.79737898,15.30655056,29.08795604,42.22995299,13.36617707,16.96314263,33.93384796,38.57860799,10.51323743,15.84206195,30.39990493,41.47710392,12.2758874,29.15656055,53.68024532,17.15527129,40.63134164,49.9224823,9.43321143,3.227188951,6.9219873,21.01445484,3.746710235,20.76515706,7.733865061,22.1100371,14.48059944,96.40927868,0.472423643,0.340287552,6.689649438,9.408683568,3.21016468,10.79180697,3.102971132,2.445260026,2.175346078,7.734266897,1.922654362,8.155023844,0.047509606,3.430787412,8.867667932,14.26772851,1.402127243,6.005214179,5.474591269,4.055835664,3.590721322,10.89810971,6.195549538,2.862750687,1.774186843,0.658601911,1.703516305,1.764981857,6.092216145,1.651552673,7.860464288,1.509617726,2.052711908,4.568642472,2.926888655,2.875518894,11.89284208,13.37276631,0.28357296,4.819849513,3.467607357,5.460041452,5.308010713,2.289377674,22.368979,23.5298316,21.31350577,22.6354363,7.86286965,10.14917625,24.76116508,44.32450161,16.9110442,AL-06
7,107,1,7,AL,Democrat,AL-07,AL-07,0,36.5,281267,35563,51096,24042,308458,16.84038848,42.84046392,32.98115973,8.39414944,25.61335506,47.79741815,18.17963009,11.35265917,20.53048768,35.53444829,32.67526804,14.21776686,39.05893849,35.17826319,11.54880347,15.60981655,34.48349568,37.42314539,12.46989131,15.67663494,28.45457338,40.30477805,15.56670792,16.25141675,31.26310098,38.92278705,13.54994225,16.69741151,30.51624387,40.04001918,12.74866049,27.67448669,53.67348442,18.65202889,44.26735976,46.87237868,8.85020288,4.285604304,11.36968256,28.11861116,4.663695542,22.71049503,8.038502006,13.23319333,7.580216077,92.37436222,1.073273575,0.326711263,5.569253763,12.61827489,2.21910954,11.03092746,4.182626181,1.381573485,1.327783454,4.164214828,1.19926499,3.59779497,0.016967325,4.747963018,9.6609062,16.70090216,1.495651672,9.178961961,5.048681783,4.459157482,7.625637776,6.687653202,3.35158825,1.344389772,1.092406941,0.624541972,1.678321173,0.761002588,5.33857034,1.040782952,6.015819323,3.664220243,2.338241824,6.653357545,5.97863561,3.382634845,9.67029238,14.3399169,0.431042263,4.87323242,3.077945004,8.69846175,8.956942705,2.420905978,22.74774521,26.77238859,18.25578575,22.15140251,7.651771966,15.65528686,32.7823067,28.85191141,19.58751349,AL-07
8,200,2,0,AK,Republican,AK-00,AK-00,1,35,268634,76450,96261,131494,792338,16.97530042,45.71667474,30.32777136,7.411293315,24.77129857,50.23229639,17.51410022,11.68441067,20.32260527,34.60284153,33.14035957,12.97682007,39.85218955,35.98277261,11.19141329,14.36846805,35.77204597,38.21679458,11.28319566,15.03029528,28.59864119,41.97454593,13.9935273,16.55562242,34.61739888,37.50703458,10.85996709,14.76524484,30.71762452,41.50711269,12.69348416,31.72652049,51.45529204,16.48301316,44.25543549,47.47918031,8.962007069,2.035551688,4.5927569,22.14515203,5.625851466,26.72361146,8.673460009,19.35346826,10.85014818,92.98927939,2.001870596,2.081801101,7.246477368,3.47003855,2.024073514,10.64879702,6.808247274,1.452625911,1.99604233,2.177551185,1.468167954,5.126931307,0.105186324,3.115346934,9.315789328,14.86318839,1.828687835,7.219278794,4.36842412,12.68147416,7.010720609,9.999639203,4.005683947,1.562252819,1.975227094,1.355765682,2.40624124,0.766833281,6.370849789,1.836736393,5.848803679,1.910006023,2.755937199,6.129948128,3.360689179,4.827191914,7.873154729,13.41861104,1.228098903,6.952566241,4.365926292,4.048979637,7.000857588,2.879844176,24.08415241,27.23430057,19.55096002,21.68548957,4.565253261,6.628308588,27.7710035,38.87707645,14.80018761,AK-00
9,401,4,1,AZ,Democrat,AZ-01,AZ-01,0,37.4,255370,50248,66566,87155,760881,16.97883885,42.69560499,31.57605354,8.098028577,24.53336951,48.02821487,17.9744981,12.21124977,20.32754567,33.74950262,32.36064388,14.47639718,38.32772653,34.82492313,11.00741545,15.19949358,33.88279978,37.46409839,12.10363538,15.72183035,27.57894737,41.29155363,14.05335504,16.58238379,32.82691264,37.3335142,11.88894918,16.09658166,29.24868873,40.97684934,12.32899258,26.90197142,53.41671188,18.32284319,39.59142702,49.66992223,9.375836498,5.426999432,8.699157782,21.87280672,4.554284616,26.49288961,8.654874503,14.61703319,9.681954146,92.61104568,2.305947449,1.539388913,6.965229602,6.169054032,1.3703976,11.28548382,3.80909905,1.471095517,1.188514166,2.573546065,1.892702711,3.987846563,0.17247567,3.860319097,11.51579982,13.88620787,3.440454081,10.53495333,4.677052373,7.354432276,7.388954323,7.79311282,3.107349554,1.436948818,1.518831207,1.288863647,2.02963794,0.645651348,6.696934114,1.639738394,5.68890964,1.939044659,3.969727907,7.416802266,5.108415767,4.669735224,9.354104747,12.82138838,1.528935843,6.051979637,4.1160709,4.749178563,6.428638627,2.73410706,24.54591599,23.49589815,17.50089171,23.74598732,7.97719977,14.12615721,26.42709134,32.95386184,16.97962,AZ-01
10,402,4,2,AZ,Republican,AZ-02,AZ-02,0,41.5,312884,51761,72104,89019,864112,16.84427086,43.64982061,31.95102573,7.558228028,24.95680463,48.47264851,18.46420178,12.12748697,19.99565119,33.30049426,33.99730708,13.81716608,38.58931364,35.68029572,11.39337476,14.55512532,34.82291153,38.61891899,11.35791525,15.2280197,27.47710604,42.7574787,13.87370058,16.60207572,33.45303706,38.09555669,11.16071354,15.13385129,30.01145744,41.46203574,12.76241292,28.98145903,53.06900387,17.31327306,41.22218227,49.12965302,9.379207681,3.413398859,5.521553068,16.85133211,3.654797732,26.84393046,9.207159684,19.77592173,14.73190636,94.21908336,0.779032699,0.390897069,5.425921324,6.327684656,1.73571799,11.36884544,3.210019729,0.929070898,1.390538082,3.758932489,2.43190751,7.296336184,0.073024727,5.563379633,10.22315498,15.39379658,2.490511388,8.766956004,5.410579994,7.033692627,5.780916644,8.597894556,4.163636754,3.217690394,2.492045521,1.141088068,1.894040507,0.963128649,6.891631919,1.972588113,7.044738384,2.08335251,3.730397617,6.745275638,3.884731389,4.587057441,10.83895593,13.77774096,0.415136369,4.127124391,3.824593378,3.191303307,4.415848207,2.227826029,19.88880319,23.9716978,17.99429932,24.87481976,11.0425539,8.934951927,20.50612984,43.71498777,12.92353575,AZ-02
