OBJECTID,spend_zips_ZCTA5CE10,spend_zips_AFFGEOID10,spend_zips_Shape_Leng,spend_zips_sourceCountry,spend_zips_ORIG_ID,spend_zips_aggregationMethod,spend_zips_populationToPolygonSizeRating,spend_zips_apportionmentConfidence,spend_zips_HasData,spend_zips_med_inc,spend_zips_bought_car,spend_zips_child_spent,spend_zips_poli_dem,spend_zips_poli_rep,spend_zips_disp_inc,spend_zips_BACHDEG_CY,spend_zips_rel_club,spend_zips_bar_spend,spend_zips_MALES_CY,spend_zips_FEMALES_CY,spend_zips_MARRIED_CY,spend_zips_food_percapita,spend_zips_health_percapita,LAzips_ZIP_CODE,LAzips_PO_NAME,LAzips_STATE,LAzips_POPULATION,LAzips_SQMI,LAzips_Shape__Area,LAzips_Shape__Length,Shape_Length,Shape_Area,Republican
1,70634,8600000US70634,375671.1633,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,41170,2862,1558,4915,6202,48881,2420,606,2816,13021,13346,11483,2364.068115,1118.231079,70634,Deridder,LA,26950,417.33,0.101878106,2.828242092,375671.1639,1607273217,
2,70748,8600000US70748,146840.3282,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,39960,540,534,1447,1379,48167,390,246,482,4175,2340,1805,1679.321899,819.062439,70748,Jackson,LA,6436,89.4,0.021822262,1.377046789,146840.3284,282185983.1,
3,70810,8600000US70810,46238.88322,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,75621,4510,3130,9934,8401,77672,8355,1312,6316,19979,21051,16206,4254.164063,1826.725586,70810,Baton Rouge,LA,40754,27.31,0.006636897,0.402016554,46238.88297,96666238.55,
4,70722,8600000US70722,156619.7926,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,42640,733,419,1051,1316,52600,478,208,538,2831,2927,2461,3044.805908,1483.299805,70722,Clinton,LA,5476,170.6,0.041661972,1.549663236,156619.7928,592470344.4,
5,71409,8600000US71409,207791.7022,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,46564,788,469,1244,1832,52559,571,158,669,3642,3614,3219,2615.182373,1259.350464,71409,Boyce,LA,7509,122.59,0.030083253,1.4318105,207791.702,502217827.7,
6,71424,8600000US71424,131003.1504,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,50128,149,87,216,372,56801,88,31,149,702,683,592,2081.979004,993.6598511,71424,Elmer,LA,1805,70.38,0.017246119,1.048935432,131003.1506,205879296.5,
7,71032,8600000US71032,171307.6973,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,49444,277,182,428,517,60683,164,65,160,1130,1125,980,3707.956543,1858.259155,71032,Grand Cane,LA,2142,115.3,0.028534212,1.373365584,171307.6971,442992966.9,
8,70712,8600000US70712,38352.93485,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,50646,45,656,1813,889,51043,426,184,698,5402,223,1491,7141.077637,3042.760498,70712,Angola,LA,142,26.62,0.0065076,0.332102708,38352.93484,90224952.4,
9,71355,8600000US71355,156766.9522,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,40320,371,235,557,662,48686,200,73,223,1440,1543,975,2653.103271,1332.920654,71355,Moreauville,LA,3061,137.23,0.033582623,1.113768533,156766.9517,549319531.9,
10,71295,8600000US71295,282809.2637,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,30371,1456,972,3815,2466,40729,736,366,1198,7257,7493,5014,2080.790039,995.1505127,71295,Winnsboro,LA,14532,312,0.077244291,2.373467165,282809.2631,1165247745,
11,70812,8600000US70812,18069.74929,US,11,BlockApportionment:US.BlockGroups,2.191,2.576,1,35152,809,435,5472,534,38251,1060,505,964,5241,6221,3159,1616.36853,737.7850342,70812,Baton Rouge,LA,11062,4.26,0.001037297,0.147098821,18069.74934,15240994.19,
12,71447,8600000US71447,248993.6415,US,12,BlockApportionment:US.BlockGroups,2.191,2.576,1,37198,198,121,299,330,39868,121,53,92,768,788,522,2245.758545,1114.464478,71447,Lena,LA,1507,140.06,0.034415129,1.534485332,248993.6405,576023160,
13,71006,8600000US71006,167123.2181,US,13,BlockApportionment:US.BlockGroups,2.191,2.576,1,67888,1594,1071,3144,3312,66025,1790,438,1938,7036,7288,6974,3105.72168,1453.570557,71006,Benton,LA,14958,197.78,0.049277072,1.377824042,167123.2182,782145251.9,
14,70836,8600000US70836,1484.480888,US,14,BlockApportionment:US.BlockGroups,2.191,2.576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70836,Baton Rouge,LA,395,0.36,8.66446E-05,0.037526104,1484.480799,70265.02215,
15,70352,8600000US70352,15059.58814,US,15,BlockApportionment:US.BlockGroups,2.191,2.576,1,40751,32,20,57,44,45182,11,5,19,112,118,82,5554.964844,2774.062012,70352,Donner,LA,113,0.6,0.000145614,0.071418982,15059.58824,13616653.34,
16,71404,8600000US71404,134087.9128,US,16,BlockApportionment:US.BlockGroups,2.191,2.576,1,42191,102,64,151,180,49778,2,28,51,420,398,330,997.6027222,498.2911682,71404,Atlanta,LA,2253,147.12,0.036277102,1.40775491,134087.9128,371095024.8,
17,71479,8600000US71479,142673.4892,US,17,BlockApportionment:US.BlockGroups,2.191,2.576,1,40960,89,64,164,164,43830,42,19,61,441,290,299,2496.270508,1251.532593,71479,Tullos,LA,691,86.75,0.021405001,0.949592091,142673.4888,340392245.3,
18,71422,8600000US71422,165733.1581,US,18,BlockApportionment:US.BlockGroups,2.191,2.576,1,35522,167,115,219,388,41357,50,39,109,765,714,639,1653.445557,834.8145142,71422,Dodson,LA,1973,161.76,0.040008938,1.421325743,165733.1581,526297380.1,
19,70449,8600000US70449,100622.1917,US,19,BlockApportionment:US.BlockGroups,2.191,2.576,1,53780,432,241,706,899,58565,207,79,425,1866,1867,1703,3051.400879,1460.363159,70449,Maurepas,LA,3943,120.03,0.029143695,1.164059713,100622.1921,243721244,
20,71360,8600000US71360,251137.6906,US,20,BlockApportionment:US.BlockGroups,2.191,2.576,1,45146,3826,2442,7286,8582,50522,3897,1086,4604,18134,19239,14486,2416.613281,1101.824829,71360,Pineville,LA,37127,201.47,0.049447397,2.162791092,251137.6912,735392246.8,
21,70648,8600000US70648,215778.5073,US,21,BlockApportionment:US.BlockGroups,2.191,2.576,1,42998,806,575,1837,1867,49809,402,188,797,4798,3872,2957,2111.870361,1015.332153,70648,Kinder,LA,8824,238.61,0.058058359,2.204230096,215778.5069,694156625.2,
22,71340,8600000US71340,260437.8262,US,22,BlockApportionment:US.BlockGroups,2.191,2.576,1,31890,121,163,469,357,44177,112,45,155,1228,441,508,1215.140015,606.8215942,71340,Harrisonburg,LA,1872,162.39,0.0400619,2.320498772,260437.8258,435797120.5,
23,71008,8600000US71008,178149.0583,US,23,BlockApportionment:US.BlockGroups,2.191,2.576,1,38133,92,57,113,188,44296,44,21,52,362,360,307,2201.57666,1109.206421,71008,Bienville,LA,867,133.34,0.033079217,1.113769869,178149.0578,550420099.7,
24,70446,8600000US70446,147881.7494,US,24,BlockApportionment:US.BlockGroups,2.191,2.576,1,48349,725,382,1114,1775,50107,568,146,675,3380,3413,2843,2515.015625,1173.779663,70446,Loranger,LA,6308,103.23,0.025155238,1.372247552,147881.7497,299846852.7,
25,71018,8600000US71018,140867.3903,US,25,BlockApportionment:US.BlockGroups,2.191,2.576,1,36265,242,133,331,353,38089,102,63,117,869,900,676,1861.727417,920.3601685,71018,Cotton Valley,LA,1999,87.12,0.021730275,1.364578159,140867.3899,312343051.8,
26,70125,8600000US70125,11889.94492,US,26,BlockApportionment:US.BlockGroups,2.191,2.576,1,38136,1233,939,6282,2016,50613,2395,469,2734,7862,9061,3539,2744.256592,1162.856689,70125,New Orleans,LA,16302,2.3,0.000555972,0.093616061,11889.94516,8088740.161,
